Jurisdiction,County,Government Type,Subject,Ballot Measure Text,Election Results,Yes %,No %,Election Month,Election Year,Duration in Years Levy/Fee,Amount of Levy (Per $1000 A/V),Tax Amount,Bond Amount,Funding Type/Statutory Authority
Colfax Cemetery District No. 6 - Whitman County Cemetery District No.6,Whitman,Cemetery District,Cemetery,Excess levy ($0.52) for cemetery operation and maintenance.,Passed,60.49,39.51,August,2012,1,0.52,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Colfax Metropolitan Park District,Whitman,Park District,Parks and Recreation,"Forming a new metropolitan park district for aquatic, parks, and recreation programs, funded by a $0.50 levy and governed by city council (ex officio).",Passed,54.91,45.09,November,2016,,0.5,,,Metropolitan Park District Formation (Ch. 35.61 RCW)
College Place,Walla Walla,City,Transportation,"Bonds (20 years, $7 million) for capital improvements to two streets, including utilities, gutters, and sidewalks.",Passed,68.42,31.58,August,2012,20,,,"7,000,000",Bond (RCW 84.52.056)
Colton,Whitman,City,"Transportation, Water and Sewer, Other","Excess levy ($1.09) for general operations, streets, and water/sewer systems.",Passed,76.81,23.19,November,2017,1,1.09,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Colton,Whitman,City,"Transportation, Water and Sewer, Other","Excess levy ($1.11) for general operations, street improvements, and water/sewer systems.",Passed,74.22,25.78,November,2016,1,1.11,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Colton,Whitman,City,"Transportation, Water and Sewer, Other","Excess levy ($1.20) for general operations, streets, and water/sewer systems.",Passed,71.11,28.89,November,2015,1,1.2,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Colton,Whitman,City,"Transportation, Water and Sewer, Other",Excess levy ($1.20) for general operations and improvement of streets and water/sewer systems.,Passed,67.2,32.8,November,2014,1,1.2,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Colton,Whitman,City,"Transportation, Water and Sewer, Other",Excess levy ($1.20) for general operations and improvement of town streets and water/sewer systems.,Passed,73.99,26.01,November,2013,1,1.2,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Colton,Whitman,City,"Transportation, Water and Sewer, Other",Excess levy ($1.20) for general operations and improvement of town streets and water/sewer systems.,Passed,67.98,32.02,November,2012,1,1.2,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Colton,Whitman,City,"Transportation, Water and Sewer, Other",Excess levy ($1.20) for general operations and improvement of streets and water system.,Passed,68.79,31.21,November,2011,1,1.2,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Columbia County,Columbia,County,"Fire, EMS, Criminal Justice","Emergency communications sales tax (11 years, 0.1%) for improvements to the emergency communication systems and facilities.",Passed,66.88,33.12,November,2017,11,,0.001,,E911 Sales Tax (RCW 82.14.420)
Columbia County Fire Protection District No. 2,Columbia,Fire Protection District,EMS,"Initial EMS levy (6 years, $0.50).",Failed,56.79,43.21,November,2015,6,0.5,,,EMS Levy (RCW 84.52.069)
Columbia County Public Hospital District No. 1,"Columbia, Walla Walla",Public Hospital District,Hospital,"Bonds (25 years, $5.5 million) for hospital and rest home renovation.",Passed,60.08,39.92,November,2014,25,,,"5,500,000",Bond (RCW 84.52.056)
Columbia Valley Park and Recreation District,Whatcom,Park District,Parks and Recreation,"Park and recreation district regular levy (6 years, $0.60).",Failed,42.99,57.01,November,2017,6,0.6,,,Park and Recreation District Regular Levy (RCW 36.69.145)
Columbia Valley Park and Recreation District,Whatcom,Park District,Parks and Recreation,Forming a new park and recreation district.,Passed,68.44,31.56,November,2016,,,,,N/A
Colville,Stevens,City,Other,Advisory vote on whether city should proceed with relocating and expanding the municipal airport.,Advisory,23.25,76.75,November,2011,,,,,N/A
Concrete,Skagit,City,"Annexation, Library",Annexation into Upper Skagit Partial-County Rural Library District.,Passed,68.46,31.54,November,2015,,,,,N/A
Connell,Franklin,City,Transportation,"TBD sales tax (10 years, 0.2%).",Passed,64.84,35.16,November,2017,10,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Connell,Franklin,City,Parks and Recreation,"Single-year levy lid lift (increase of $0.40, permanent) for park and recreation operations and improvements.",Passed,61.8,38.2,November,2011,Single-year (permanent),0.4,,,Levy Lid Lift (RCW 84.55.050)
Coulee Area Park and Recreation District,"Douglas, Franklin, Grant, Lincoln, Okanogan",Park District,Parks and Recreation,Park and recreation district regular levy ($0.15) for maintenance and operations.,Failed,57.42,42.58,November,2012,6,0.15,,,Park and Recreation District Regular Levy (RCW 36.69.145)
Coulee City,Grant,City,Government Organization,Changing city classification from town to code city.,Failed,25.91,74.09,April,2013,,,,,N/A
Covington Transportation Benefit District,King,Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.2%).",Failed,48.07,51.93,April,2015,10,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Covington Transportation Benefit District,King,Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.2%) for transportation maintenance and improvements.",Failed,49.45,50.55,November,2013,,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Cowlitz County,Cowlitz,County,Other,Emergency communications sales tax (0.1%) to improve 911 systems and facilities.,Passed,62.14,37.86,November,2016,,,0.001,,E911 Sales Tax (RCW 82.14.420)
Cowlitz County Cemetery District No. 3,Cowlitz,Cemetery District,Cemetery,Excess levy ($0.35) for cemetery district to purchase 5-acre parcel of land.,Failed,48.62,51.38,November,2013,1,0.35,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Cowlitz County Emergency Medical Service District No. 1,Cowlitz,Emergency Medical Services District,EMS,"Excess levy ($1.40) for maintenance, operation, and staff salaries for emergency medical and paramedic services over the next three years.",Passed,73.58,26.42,November,2017,1,1.4,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Cowlitz County Emergency Medical Service District No. 1,Cowlitz,Emergency Medical Services District,EMS,"Excess levy ($1.50) for EMS maintenance and operation, with the revenue to be used for North Country EMS over a three-year period.",Passed,86.33,13.67,August,2014,1,1.5,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Cowlitz County Fire Protection District No. 1,Cowlitz,Fire Protection District,"Fire, EMS","Single-year levy lid lift (to $1.50, permanent) to maintain and improve fire protection and EMS staffing, apparatus, equipment, and facilities.",Passed,62.09,37.91,August,2017,Permanent,1.5,,,Levy Lid Lift (RCW 84.55.050)
Cowlitz County Fire Protection District No. 2,Cowlitz,Fire Protection District,Fire,"Bonds (20 years, $11 million) to rebuild two fire stations and buy a vehicle.",Passed,67.9,32.1,November,2016,20,,,"11,000,000",Bond (RCW 84.52.056)
Cowlitz County Fire Protection District No. 3,Cowlitz,Fire Protection District,EMS,"Permanent EMS levy ($0.50) for emergency medical services personnel and equipment, subject to annual right of referendum.",Passed,68.28,31.72,November,2016,Permanent,0.5,,,EMS Levy (RCW 84.52.069)
Cowlitz County Fire Protection District No. 6,Cowlitz,Fire Protection District,"Fire, EMS","Multi-year levy lid lift (increase of $0.78 to $1.20, 6 years) for fire and EMS. Limit factor: 6% annually.",Passed,61.56,38.44,August,2016,Multi-year (6 years),1.2,,,Levy Lid Lift (RCW 84.55.050)
Cowlitz County Fire Protection District No. 6,Cowlitz,Fire Protection District,Fire,"Multi-year levy lid lift (to $1.00, 6 years) for fire district maintenance and operations. Limit factor: 1% annually.",Failed,45.66,54.34,November,2014,Multi-year (6 years),1,,,Levy Lid Lift (RCW 84.55.050)
Cowlitz County Mosquito Control District,Cowlitz,Mosquito Control District,Annexation,Annexation of the portion of Woodland lying within Cowlitz County.,Passed,75.36,24.64,November,2017,,,,,N/A
Cowlitz-Lewis County Fire Protection District No. 20,"Cowlitz, Lewis",Fire Protection District,EMS,"Multi-year levy lid lift (to $0.50, 6 years/permanent) for EMS. Limit factor: 6% annually.",Passed,63.64,36.36,November,2015,Multi-year (6 years/permanent),0.5,,,Levy Lid Lift (RCW 84.55.050)
Cusick,Pend Oreille,City,"Fire, EMS","Single-year levy lid lift (increase of $1.17 to $3.51, permanent) for fire and emergency medical services.",Failed,49.32,50.68,November,2016,Single-year (permanent),1.17,,,Levy Lid Lift (RCW 84.55.050)
Cusick,Pend Oreille,City,"Annexation, Fire",Annexation into Pend Oreille County Fire District No. 4.,Passed,70.83,29.17,November,2016,,,,,N/A
Dayton Transportation Benefit District,Columbia,Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.2%) for transportation improvements.",Passed,70.52,29.48,February,2015,10,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Des Moines,King,City,Transportation,"Utility tax increase (20 years, from 6% to 8%) for street pavement improvements.",Failed,46.2,53.8,August,2013,20,,0.02,,Utility Tax Increase (RCW 35.21.870)
Des Moines,King,City,"Transportation, Parks and Recreation","Utility tax increase (from 6% to 9%) for park capital projects (1%), park maintenance and operations (0.5%), and street paving improvements (1.5%).",Failed,37.76,62.24,November,2011,20,,0.03,,Utility Tax Increase (RCW 35.21.870)
Discovery Bay Volunteer Fire & Rescue,Jefferson,Fire Protection District,Fire,"Bonds (20 years, $530,000) for a new fire station.",Passed,62.57,37.43,February,2016,20,,,"530,000",Bond (RCW 84.52.056)
Douglas County Cemetery District No. 2,Douglas,Cemetery District,Cemetery,"Excess levy (3 years, $0.47) for cemetery maintenance and operations.",Passed,62.18,37.82,November,2015,3,0.47,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Douglas County Cemetery District No. 2,Douglas,Cemetery District,Cemetery,Excess levy ($0.27) for cemetery maintenance and operations.,Passed,63.96,36.04,November,2014,1,0.27,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Douglas County Cemetery District No. 2,Douglas,Cemetery District,Cemetery,Excess levy ($0.30) for cemetery maintenance and operations.,Passed,65.75,34.25,November,2013,1,0.3,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Douglas County Cemetery District No. 2,Douglas,Cemetery District,Cemetery,Excess levy ($0.30) for cemetery maintenance and operations.,Passed,61.14,38.86,November,2012,1,0.3,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Douglas County Cemetery District No. 2,Douglas,Cemetery District,Cemetery,Excess levy ($0.53) for cemetery maintenance and operations.,Passed,60.88,39.12,November,2011,1,0.53,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Douglas County Fire Protection District No. 2,Douglas,Fire Protection District,"Fire, EMS","Multi-year levy lid lift (to $1.10, 6 years/permanent) for fire protection and EMS. Rate increase: $0.05 annually.",Passed,51.88,48.12,November,2015,Multi-year (6 years/permanent),1.1,,,Levy Lid Lift (RCW 84.55.050)
Douglas County Fire Protection District No. 3,Douglas,Fire Protection District,"Fire, EMS","Single-year levy lid lift (to $1.00, permanent) for fire and emergency medical services.",Passed,51.35,48.65,November,2016,Single-year (permanent),1,,,Levy Lid Lift (RCW 84.55.050)
Douglas County Hospital District No. 2 - Waterville Clinic and Ambulance,Douglas,Public Hospital District,EMS,Excess levy ($0.36) for maintenance and operation of ambulance services.,Passed,69.01,30.99,November,2016,1,0.36,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Douglas County Hospital District No. 2 - Waterville Clinic and Ambulance,Douglas,Public Hospital District,EMS,Excess levy ($0.40) for ambulance services.,Passed,75.44,24.56,November,2015,1,0.4,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Douglas County Hospital District No. 2 - Waterville Clinic and Ambulance,Douglas,Public Hospital District,Hospital,Excess levy ($0.40) for hospital and ambulance maintenance and operation.,Passed,71.55,28.45,November,2014,1,0.4,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Douglas County Hospital District No. 2 - Waterville Clinic and Ambulance,Douglas,Public Hospital District,Hospital,Excess levy ($0.40) for hospital district maintenance and operations.,Passed,72.76,27.24,November,2013,1,0.4,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Douglas County Hospital District No. 2 - Waterville Clinic and Ambulance,Douglas,Public Hospital District,Hospital,Excess levy ($0.40) for hospital district maintenance and operations.,Passed,71.21,28.79,November,2012,1,0.4,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Douglas County Hospital District No. 2 - Waterville Clinic and Ambulance,Douglas,Public Hospital District,Hospital,Excess levy ($0.40) for hospital district maintenance and operations.,Passed,77.1,22.9,November,2011,1,0.4,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Douglas-Okanogan County Public Hospital District No. 1,"Douglas, Okanogan",Public Hospital District,Hospital,"Excess levy ($1.00) for healthcare maintenance, development, and expansion.",Failed,53.57,46.43,August,2016,1,1,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Douglas-Okanogan County Public Hospital District No. 1,"Douglas, Okanogan",Public Hospital District,Hospital,"Single-year levy lid lift (increase of $0.13 to $0.75, permanent) for healthcare maintenance, development, and expansion.",Passed,55.17,44.83,August,2016,Single-year (permanent),0.75,,,Levy Lid Lift (RCW 84.55.050)
Douglas-Okanogan County Public Hospital District No. 1,"Douglas, Okanogan",Public Hospital District,Hospital,"Excess levy ($1.00) for operation, development, and expansion of healthcare facilities.",Failed,50.75,49.25,November,2015,1,1,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Douglas-Okanogan County Public Hospital District No. 1,"Douglas, Okanogan",Public Hospital District,Hospital,"Single-year levy lid lift (increase of $0.12 to $0.75, permanent) for operation, development, and expansion of healthcare facilities and services.",Failed,49.11,50.89,November,2015,Single-year (permanent),0.75,,,Levy Lid Lift (RCW 84.55.050)
DuPont,Pierce,City,EMS,"EMS levy renewal (6 years, $0.50).",Passed,83.72,16.28,November,2017,6,,,,EMS Levy (RCW 84.52.069)
DuPont,Pierce,City,EMS,"Single-year levy lid lift (increase of $1.52, 6 years) for advanced life support services and additional EMS crew members. Replaces a $0.50 EMS levy for a total levy rate increase of $1.02.",Passed,58.11,41.89,August,2017,6,1.52,,,Levy Lid Lift (RCW 84.55.050)
DuPont,Pierce,City,"Fire, Other","Single-year levy lid lift (increase of $0.975 to $2.14, 7 years) to pay for fire and public safety services as well as lease obligations for city hall and public safety buildings.",Failed,39.75,60.25,November,2012,Single-year (7 years),2.14,,,Levy Lid Lift (RCW 84.55.050)
Duvall,King,City,Other,"Advisory vote to ban sale, possession, and discharge of consumer fireworks. <em>(Voters opposed a ban.)</em>",Advisory,39.81,60.19,November,2016,,,,,N/A
Duvall,King,City,"Parks and Recreation, Other","Single-year levy lid lift (increase of $0.325, 9 years) for debt service on ballfield improvements, employment of a full-time school resource officer, and IT system improvements.",Passed,50.99,49.01,November,2016,Single-year (9 years),0.325,,,Levy Lid Lift (RCW 84.55.050)
East Bellevue Community Municipal Corporation,King,City,Other,Continuing the community municipal corporation for another four years.,Passed,80.22,19.78,November,2017,,,,,N/A
East Bellevue Community Municipal Corporation,King,City,Government Organization,Continuing the community municipal corporation for another four years.,Passed,80.62,19.38,November,2013,,,,,N/A
East County Fire and Rescue,Clark,Fire Protection District,EMS,"EMS levy renewal (6 years, $0.35).",Passed,72.47,27.53,November,2014,6,0.35,,,EMS Levy (RCW 84.52.069)
East County Fire and Rescue,Clark,Fire Protection District,Fire,"Bonds (20 years, $1.275 million) for fire facility upgrades and new fire engines.",Failed,48.96,51.04,November,2013,,,,"1,275,000",Bond (RCW 84.52.056)
East Pierce Fire & Rescue,Pierce,Fire Protection District,"Fire, EMS","Multi-year levy lid lift (to $1.50, 4 years/permanent) to maintain current fire and EMS level of service. Limit factor: 6% annually.",Passed,53.93,46.07,August,2017,"4, permanent",1.5,,,Levy Lid Lift (RCW 84.55.050)
East Pierce Fire & Rescue,Pierce,Fire Protection District,EMS,"Multi-year EMS levy lid lift (to $0.50, 4 years/permanent) to maintain current EMS level of service.",Passed,58.37,41.63,August,2017,"4, permanent",0.5,,,Levy Lid Lift (RCW 84.55.050)
East Pierce Fire & Rescue,Pierce,Fire Protection District,"Fire, EMS","Single-year levy lid lift (to $0.50, 1 year) for fire and EMS.",Passed,64.67,35.33,April,2016,Single-year (1 year),0.5,,,Levy Lid Lift (RCW 84.55.050)
East Pierce Fire & Rescue,Pierce,Fire Protection District,"Fire, EMS","Fire district excess levy (4 years, up to $0.37) to maintain current fire and EMS level of service.",Failed,56.31,43.69,November,2014,4,0.37,,,Fire District Excess Levy (RCW 84.52.130)
East Pierce Fire & Rescue,Pierce,Fire Protection District,"Fire, EMS","Fire district excess levy (4 years, up to $0.53) to maintain current level of fire and EMS.",Failed,55.9,44.1,August,2014,4,0.53,,,Fire District Excess Levy (RCW 84.52.130)
East Pierce Fire & Rescue,Pierce,Fire Protection District,Government Organization,Increasing the number of fire commissioners from 5 to 7.,Passed,59.09,40.91,November,2013,,,,,N/A
East Pierce Fire & Rescue,Pierce,Fire Protection District,"Annexation, Fire",Annexation of the City of Milton.,Passed,86.15,13.85,April,2013,,,,,N/A
East Pierce Fire & Rescue,Pierce,Fire Protection District,"Fire, EMS","Fire district excess levy (2 years, up to $0.43) to maintain current level of fire and EMS services.",Passed,63.4,36.6,August,2012,2,0.43,,,Fire District Excess Levy (RCW 84.52.130)
Eastmont Metropolitan Park District,Douglas,Park District,Parks and Recreation,"Bonds (20 years, $4 million) for aquatic center, parks, trails, and other recreational facilities.",Passed,64.83,35.17,November,2016,20,,,"4,000,000",Bond (RCW 84.52.056)
Eastside Regional Fire Protection Authority,King,Fire Protection District,"Government Organization, Fire",Formation of a regional fire protection service authority by two fire districts.,Failed,58.49,41.51,November,2016,,,,,Regional Fire Authority Benefit Charge (RCW 52.26.180)
Eastside Regional Fire Protection Authority,King,Fire Protection District,Fire,"Forming a new regional fire authority from two fire protection districts and funded by regional fire authority benefit charges (6 years) and a regular property tax levy (not to exceed $1.00, or $1.50 if benefit charges are not collected).",Failed,56.8,43.2,April,2016,,,,,Regional Fire Authority Benefit Charge (RCW 52.26.180)
Eatonville,Pierce,City,EMS,"Initial EMS levy (6 years, $0.50).",Passed,73.47,26.53,August,2016,6,0.5,,,EMS Levy (RCW 84.52.069)
Eatonville,Pierce,City,"Criminal Justice, Fire",Excess levy ($2.00) for public safety operations.,Failed,36.23,63.77,November,2014,1,2,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Eatonville,Pierce,City,Other,Excess levy ($1.00) for town general expenses.,Failed,40.03,59.97,November,2012,1,1,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Edgewood,Pierce,City,Government Organization,Changing form of government from council-manager to mayor-council.,Passed,50.41,49.59,November,2014,,,,,N/A
Edmonds,Snohomish,City,"Criminal Justice, Fire, Parks and Recreation, Other","Single-year levy lid lift (increase of $0.17 to $1.83, 3 years) for public safety, parks, and other city services.",Failed,42.57,57.43,November,2011,Single-year (3 years),0.17,,,Levy Lid Lift (RCW 84.55.050)
Edmonds,Snohomish,City,Parks and Recreation,"Single-year levy lid lift (increase of $0.09 to $1.74, permanent) for building maintenance and park improvements.",Failed,38.05,61.95,November,2011,Single-year (permanent),0.09,,,Levy Lid Lift (RCW 84.55.050)
Edmonds,Snohomish,City,Transportation,"Single-year levy lid lift (increase of $0.17 to $1.83, 3 years) for street pavement overlays.",Failed,41,59,November,2011,Single-year (3 years),0.17,,,Levy Lid Lift (RCW 84.55.050)
Electric City,Grant,City,Criminal Justice,"Single-year levy lid lift (increase of $0.90 to $3.10, permanent) to establish a police department or contract for police services.",Failed,31.98,68.02,November,2014,Single-year (permanent),0.9,,,Levy Lid Lift (RCW 84.55.050)
Ellensburg,Kittitas,City,Affordable Housing,Affordable housing sales tax (0.1%).,Passed,61.62,38.38,November,2017,,,0.001,,Affordable Housing Sales Tax (RCW 82.14.530)
Ellensburg Transportation Benefit District,Kittitas,Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.2%) for transit maintenance, operation, and improvements.",Passed,63.41,36.59,April,2016,10,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Elma,Grays Harbor,City,Criminal Justice,Excess levy ($0.94) to partially fund the police department.,Passed,82.53,17.47,August,2017,1,0.94,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Elma,Grays Harbor,City,Criminal Justice,Excess levy ($1.29) to partially fund police department.,Passed,62.36,37.64,August,2016,1,1.29,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Elma,Grays Harbor,City,Criminal Justice,Excess levy ($1.28) for police department maintenance and operations.,Passed,62.89,37.11,August,2015,1,1.28,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Endicott,Whitman,City,"Fire, EMS",Excess levy ($0.69) for fire and EMS.,Passed,90.65,9.35,February,2015,1,0.69,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Endicott,Whitman,City,Transportation,Excess levy ($1.57) for street work and maintenance.,Passed,74.07,25.93,November,2014,1,1.57,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Endicott,Whitman,City,Parks and Recreation,Excess levy ($0.55) for park maintenance.,Passed,67.41,32.59,November,2014,1,0.55,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Endicott,Whitman,City,Transportation,Excess levy ($1.69) for street work and maintenance.,Passed,75,25,November,2013,1,1.69,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Endicott,Whitman,City,Parks and Recreation,Excess levy ($0.59) for park maintenance.,Passed,70,30,November,2013,1,0.59,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Endicott,Whitman,City,Parks and Recreation,Excess levy ($0.61) for park maintenance.,Passed,66.07,33.93,November,2012,1,0.61,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Endicott,Whitman,City,Transportation,Excess levy ($1.74) for street work and maintenance.,Passed,70.18,29.82,November,2012,1,1.74,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Endicott,Whitman,City,Parks and Recreation,Excess levy for park maintenance.,Passed,61.4,38.6,November,2011,1,,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Endicott,Whitman,City,Transportation,Excess levy for street work and maintenance.,Passed,66.38,33.62,November,2011,1,,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Endicott Cemetery District No. 4,Whitman,Cemetery District,Cemetery,Excess levy ($0.26) for cemetery maintenance.,Passed,77.4,22.6,November,2017,1,0.26,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Endicott Cemetery District No. 4,Whitman,Cemetery District,Cemetery,Excess levy ($0.30) for cemetery maintenance.,Passed,75.2,24.8,November,2016,1,0.3,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Endicott Cemetery District No. 4,Whitman,Cemetery District,Cemetery,Excess levy ($0.31) for cemetery maintenance and operation.,Passed,71.15,28.85,November,2015,1,0.31,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Endicott Cemetery District No. 4,Whitman,Cemetery District,Cemetery,Excess levy ($0.32) for cemetery maintenance and caretaking.,Passed,74.06,25.94,November,2014,1,0.32,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Endicott Park and Recreation District No. 7,Whitman,Park District,Parks and Recreation,"Excess levy ($0.40) for operating fund, swimming pool, capital outlay, and/or cumulative reserve.",Passed,67.05,32.95,November,2017,1,0.4,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Endicott Park and Recreation District No. 7,Whitman,Park District,Parks and Recreation,"Excess levy ($0.46) for operating fund, swimming pool, capital outlay, and/or cumulative reserve.",Passed,66.87,33.13,April,2015,1,0.46,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Endicott Park and Recreation District No. 7,Whitman,Park District,Parks and Recreation,"Excess levy ($0.45) for operating fund, swimming pool, capital outlay, and/or cumulative reserve.",Passed,66.35,33.65,November,2013,1,0.45,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Endicott Park and Recreation District No. 7,Whitman,Park District,Parks and Recreation,"Excess levy ($0.47) for operating fund, swimming pool, capital outlay, and/or cumulative reserve.",Passed,70.87,29.13,November,2012,1,0.47,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Enumclaw,King,City,Library,Annexation into King County Library System.,Passed,50.71,49.29,April,2012,,,,,N/A
Enumclaw Transportation Benefit District,King,Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.1%).",Passed,60.65,39.35,November,2015,10,,0.001,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Ephrata,Grant,City,"Fire, EMS","Bonds (20 years, $820,000) for new fire and EMS vehicles.",Passed,65.99,34.01,November,2015,20,,,"820,000",Bond (RCW 84.52.056)
Ephrata,Grant,City,Criminal Justice,Public safety sales tax (0.1%) for extra police officers and other criminal justice costs.,Passed,55.51,44.49,August,2014,Permanent,,0.001,,Public Safety Sales Tax (RCW 82.14.450)
Everett,Snohomish,City,Government Organization,City charter amendment eliminating the weekly council meeting requirement and permitting council meetings to be held at locations other than city hall.,Passed,68.33,31.67,November,2016,,,,,N/A
Everett,Snohomish,City,Other,City charter amendment to allow the clerk to replace archaic terminology with modern language.,Passed,70.88,29.12,November,2016,,,,,N/A
Everett,Snohomish,City,Other,"City charter amendment to promote diversity on boards, commissions, and committees in terms such as ethnicity, gender, age, and geography.",Passed,57.2,42.8,November,2016,,,,,N/A
Everson,Whatcom,City,"Annexation, Fire",Annexation into Whatcom County Fire District #1.,Passed,86.05,13.95,February,2015,,,,,N/A
Farmington,Whitman,City,Transportation,"Excess levy ($1.44) for street maintenance, repair, and improvements.",Failed,57.69,42.31,November,2017,1,1.44,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Farmington,Whitman,City,Transportation,"Excess levy ($1.44) for street maintenance, repair, and improvements.",Failed,55.36,44.64,August,2017,10,1.44,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Farmington,Whitman,City,Other,Excess levy ($0.96) for current expense fund.,Passed,62.5,37.5,August,2017,1,0.96,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Farmington,Whitman,City,"Fire, Other",Excess levy ($2.40) for purchase of fire equipment and other town equipment.,Passed,62.5,37.5,August,2017,1,2.4,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Farmington,Whitman,City,Transportation,"Excess levy ($1.38) for street maintenance, repair, and improvements.",Passed,60.47,39.53,November,2016,1,1.38,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Farmington,Whitman,City,Transportation,"Excess levy ($1.38) for street maintenance, repair, and improvements.",Failed,57.78,42.22,August,2016,1,1.38,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Farmington,Whitman,City,Other,Excess levy ($0.92) for current expense fund.,Passed,64.44,35.56,August,2016,1,0.92,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Farmington,Whitman,City,Transportation,Excess levy ($1.08) for the city street maintenance fund.,Passed,64.06,35.94,August,2015,1,1.08,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Farmington,Whitman,City,Other,Excess levy ($0.72) for the current expense fund.,Passed,66.67,33.33,August,2015,1,0.72,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Farmington,Whitman,City,Transportation,Excess levy ($0.84) for street maintenance fund.,Passed,71.6,28.4,November,2014,1,0.84,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Farmington,Whitman,City,Other,Excess levy ($0.56) for current expense fund.,Passed,71.95,28.05,November,2014,1,0.56,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Farmington,Whitman,City,Transportation,Excess levy ($0.84) for street maintenance fund.,Failed,53.23,46.77,August,2014,1,0.84,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Farmington,Whitman,City,Other,Excess levy ($0.56) for current expense fund.,Failed,58.06,41.94,August,2014,1,0.56,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
